순위,선수명,팀명,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SAC,SF,BB,IBB,HBP,SO,GDP,SLG,OBP,OPS,MH,RISP,PH-BA
17,오선우,KIA,0.241,20,61,54,6,13,4,0,3,26,6,0,0,7,0,0,16,0,0.481,0.328,0.809,1,0.125,0.400
18,박민,KIA,0.227,60,152,132,15,30,4,0,3,43,17,5,0,13,0,2,23,6,0.326,0.306,0.632,7,0.333,0.000
19,윤도현,KIA,0.171,16,43,41,2,7,0,0,0,7,3,1,0,1,0,0,15,1,0.171,0.190,0.361,0,0.133,0.200
20,변우혁,KIA,0.167,9,24,24,1,4,1,0,1,8,2,0,0,0,0,0,8,1,0.333,0.167,0.500,0,0.000,0.000
21,고종욱,KIA,0.143,19,26,21,0,3,0,0,0,3,4,0,1,3,0,1,5,1,0.143,0.269,0.412,0,0.222,0.214
22,이호연,KIA,0.125,6,19,16,0,2,0,0,0,2,0,0,0,2,0,1,7,2,0.125,0.263,0.388,0,0.000,0.000
23,정현창,KIA,0.114,58,40,35,5,4,1,0,0,5,6,0,1,2,0,2,16,2,0.143,0.200,0.343,0,0.105,0.000
24,김범수,KIA,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.000,0.000
24,성영탁,KIA,-,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.000,0.000
24,이창진,KIA,0.000,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.000,0.000,0.000,0,0.000,0.000
24,이형범,KIA,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.000,0.000
24,홍민규,KIA,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.000,0.000
24,황대인,KIA,0.000,3,4,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.000,0.000,0.000,0,0.000,0.000
1,최원준,KT,0.380,67,321,271,60,103,20,2,5,142,37,3,3,39,0,5,46,2,0.524,0.462,0.986,30,0.317,0.000
2,안현민,KT,0.359,18,79,64,15,23,4,1,3,38,13,0,0,12,0,3,19,1,0.594,0.481,1.075,6,0.364,1.000
3,이정훈,KT,0.340,46,58,47,4,16,0,0,1,19,12,0,0,10,0,1,6,0,0.404,0.466,0.870,2,0.412,0.370
4,김민혁,KT,0.322,47,196,177,24,57,4,0,1,64,19,4,0,12,0,3,30,4,0.362,0.375,0.737,14,0.309,0.000
5,권동진,KT,0.319,55,113,91,23,29,8,2,1,44,16,4,0,16,0,2,25,0,0.484,0.431,0.915,5,0.310,0.333
6,허경민,KT,0.307,39,145,127,24,39,7,0,3,55,23,1,1,11,0,5,10,7,0.433,0.382,0.815,11,0.286,0.000
7,유준규,KT,0.300,30,49,40,12,12,1,2,0,17,10,3,0,6,0,0,13,0,0.425,0.391,0.816,2,0.583,0.500
8,류현인,KT,0.295,34,103,95,13,28,7,0,0,35,6,0,0,7,0,1,21,0,0.368,0.350,0.718,8,0.182,0.000
9,김현수,KT,0.290,68,312,279,34,81,17,0,5,113,50,0,2,31,0,0,34,11,0.405,0.359,0.764,26,0.310,0.000
10,김상수,KT,0.286,62,240,196,20,56,4,1,0,62,21,5,1,33,0,5,27,6,0.316,0.400,0.716,16,0.306,0.333
